assignment_id,employee_id,project_id,start_date,end_date,utilization_pct
ASG000054,EMP00005,PRJ0036,2019-04-29,2019-09-03,70
ASG000055,EMP00005,PRJ0010,2019-09-03,2020-03-03,83
ASG000056,EMP00005,PRJ0074,2020-03-03,2020-05-26,72
ASG000057,EMP00005,PRJ0235,2020-05-26,2020-11-19,95
ASG000058,EMP00005,PRJ0213,2020-11-19,2021-07-02,73
ASG000059,EMP00005,PRJ0121,2021-07-02,2022-02-04,93
ASG000060,EMP00005,PRJ0179,2022-03-02,2022-07-17,75
ASG000061,EMP00005,PRJ0213,2022-07-17,2022-10-12,83
ASG000062,EMP00005,PRJ0036,2022-10-12,2023-05-03,97
ASG000063,EMP00005,PRJ0195,2023-06-20,2023-11-23,75
ASG000064,EMP00005,PRJ0181,2023-11-23,2024-02-05,81
ASG000065,EMP00005,PRJ0121,2024-02-05,2024-05-21,72
ASG000066,EMP00005,PRJ0115,2024-07-09,2025-01-24,71
ASG000067,EMP00005,PRJ0158,2025-01-24,2025-04-03,85
ASG000068,EMP00005,PRJ0002,2025-04-03,2025-11-19,90
ASG000069,EMP00005,PRJ0232,2025-12-22,2026-06-11,99
ASG000070,EMP00006,PRJ0021,2023-11-26,2024-01-29,76
ASG000071,EMP00006,PRJ0005,2024-01-29,2024-08-21,90
ASG000072,EMP00006,PRJ0066,2024-08-21,2025-01-01,88
ASG000073,EMP00006,PRJ0056,2025-01-01,2025-03-25,77
ASG000074,EMP00006,PRJ0214,2025-03-25,2025-06-30,81
ASG000075,EMP00006,PRJ0039,2025-06-30,2026-03-03,86
ASG000076,EMP00006,PRJ0141,2026-03-03,2026-06-18,87
ASG000077,EMP00007,PRJ0241,2021-12-11,2022-03-03,97
ASG000078,EMP00007,PRJ0187,2022-03-03,2022-11-27,77
ASG000079,EMP00007,PRJ0156,2022-12-01,2023-07-23,76
ASG000080,EMP00007,PRJ0136,2023-07-23,2024-01-07,70
ASG000081,EMP00007,PRJ0109,2024-01-07,2024-03-30,73
ASG000082,EMP00007,PRJ0029,2024-03-30,2024-10-05,97
ASG000083,EMP00007,PRJ0199,2024-11-13,2025-06-23,76
ASG000084,EMP00007,PRJ0074,2025-06-23,2026-03-11,99
ASG000085,EMP00007,PRJ0061,2026-03-11,2026-06-16,98
ASG000086,EMP00007,PRJ0078,2026-06-16,2026-06-18,76
ASG000087,EMP00008,PRJ0032,2016-12-13,2017-06-04,73
ASG000088,EMP00008,PRJ0013,2017-06-04,2017-12-03,82
ASG000089,EMP00008,PRJ0062,2017-12-03,2018-08-25,80
ASG000090,EMP00008,PRJ0108,2018-08-25,2019-03-14,93
ASG000091,EMP00008,PRJ0164,2019-03-31,2019-11-12,95
ASG000092,EMP00008,PRJ0204,2019-11-12,2020-06-25,98
ASG000093,EMP00008,PRJ0160,2020-06-25,2020-10-21,75
ASG000094,EMP00008,PRJ0118,2020-10-21,2021-05-04,99
ASG000095,EMP00008,PRJ0017,2021-05-04,2021-12-04,94
ASG000096,EMP00008,PRJ0029,2021-12-04,2022-07-20,84
ASG000097,EMP00008,PRJ0215,2022-07-20,2023-02-10,81
ASG000098,EMP00008,PRJ0232,2023-02-10,2023-07-28,76
ASG000099,EMP00008,PRJ0128,2023-07-28,2023-12-08,71
ASG000100,EMP00008,PRJ0153,2024-01-22,2024-08-05,100
ASG000101,EMP00008,PRJ0138,2024-08-05,2025-02-22,74
ASG000102,EMP00008,PRJ0005,2025-02-22,2025-10-06,77
ASG000103,EMP00008,PRJ0162,2025-11-03,2026-06-18,93
ASG000104,EMP00009,PRJ0132,2023-05-10,2023-10-27,77
ASG000105,EMP00009,PRJ0148,2023-10-27,2024-03-05,88
ASG000106,EMP00009,PRJ0062,2024-03-05,2024-06-22,99
ASG000107,EMP00009,PRJ0184,2024-06-22,2025-02-20,94
ASG000108,EMP00009,PRJ0037,2025-02-20,2025-06-10,91
ASG000109,EMP00009,PRJ0075,2025-06-10,2025-10-28,91
ASG000110,EMP00009,PRJ0110,2025-11-01,2026-05-26,70
ASG000111,EMP00009,PRJ0001,2026-05-26,2026-06-18,92
ASG000112,EMP00010,PRJ0158,2023-04-18,2023-12-04,74
ASG000113,EMP00010,PRJ0091,2023-12-26,2024-06-09,93
ASG000114,EMP00010,PRJ0062,2024-07-05,2025-02-03,87
ASG000115,EMP00010,PRJ0147,2025-02-03,2025-07-25,89
ASG000116,EMP00010,PRJ0107,2025-07-25,2025-09-25,99
ASG000117,EMP00010,PRJ0048,2025-09-25,2026-03-01,82
ASG000118,EMP00010,PRJ0171,2026-03-01,2026-05-22,96
ASG000119,EMP00010,PRJ0172,2026-05-22,2026-06-18,88
ASG000120,EMP00011,PRJ0022,2017-05-24,2017-09-14,94
ASG000121,EMP00011,PRJ0135,2017-09-14,2018-03-03,97
ASG000122,EMP00011,PRJ0250,2018-03-03,2018-06-25,90
ASG000123,EMP00011,PRJ0093,2018-06-25,2019-02-23,100
ASG000124,EMP00011,PRJ0018,2019-04-19,2019-07-13,86
ASG000125,EMP00011,PRJ0245,2019-09-23,2020-01-25,74
ASG000126,EMP00011,PRJ0135,2020-01-25,2020-10-08,97
ASG000127,EMP00011,PRJ0140,2020-11-15,2021-02-10,77
ASG000128,EMP00011,PRJ0130,2021-02-10,2021-05-07,75
ASG000129,EMP00011,PRJ0202,2021-06-25,2021-11-30,72
ASG000130,EMP00011,PRJ0130,2021-11-30,2022-04-29,90
ASG000131,EMP00011,PRJ0142,2022-04-29,2022-08-04,90
ASG000132,EMP00011,PRJ0006,2022-08-04,2023-01-14,84
ASG000133,EMP00011,PRJ0100,2023-01-14,2023-04-12,85
ASG000134,EMP00011,PRJ0224,2023-04-12,2023-07-01,86
ASG000135,EMP00011,PRJ0121,2023-08-16,2024-03-08,94
ASG000136,EMP00011,PRJ0012,2024-03-08,2024-07-05,75
ASG000137,EMP00011,PRJ0163,2024-07-05,2024-12-24,89
ASG000138,EMP00011,PRJ0100,2025-02-23,2025-09-19,92
ASG000139,EMP00011,PRJ0096,2025-09-19,2026-02-08,82
ASG000140,EMP00011,PRJ0065,2026-03-12,2026-06-18,89
ASG000141,EMP00012,PRJ0192,2015-11-07,2016-05-31,99
ASG000142,EMP00012,PRJ0005,2016-05-31,2017-01-12,73
ASG000143,EMP00012,PRJ0092,2017-01-12,2017-04-08,83
ASG000144,EMP00012,PRJ0202,2017-04-08,2017-09-06,100
ASG000145,EMP00012,PRJ0018,2017-09-06,2018-04-01,77
ASG000146,EMP00012,PRJ0089,2018-04-01,2018-12-02,100
ASG000147,EMP00012,PRJ0062,2018-12-02,2019-07-22,78
ASG000148,EMP00012,PRJ0188,2019-07-22,2020-02-03,100
ASG000149,EMP00012,PRJ0169,2020-02-03,2020-08-08,91
ASG000150,EMP00012,PRJ0161,2020-08-08,2021-04-18,95
ASG000151,EMP00012,PRJ0027,2021-04-18,2021-07-24,71
ASG000152,EMP00012,PRJ0198,2021-07-24,2021-10-12,93
ASG000153,EMP00012,PRJ0149,2021-10-12,2022-04-09,97
ASG000154,EMP00012,PRJ0189,2022-04-09,2022-07-25,75
ASG000155,EMP00012,PRJ0194,2022-07-25,2023-03-02,81
ASG000156,EMP00012,PRJ0086,2023-03-02,2023-11-17,71
ASG000157,EMP00012,PRJ0035,2023-11-17,2024-02-29,74
ASG000158,EMP00012,PRJ0012,2024-02-29,2024-11-23,90
ASG000159,EMP00012,PRJ0091,2024-11-23,2025-05-25,84
ASG000160,EMP00012,PRJ0140,2025-05-25,2025-07-29,73
ASG000161,EMP00012,PRJ0087,2025-07-29,2026-03-08,95
ASG000162,EMP00012,PRJ0209,2026-03-08,2026-06-18,82
ASG000163,EMP00013,PRJ0165,2024-09-09,2025-05-13,91
ASG000164,EMP00013,PRJ0045,2025-05-13,2025-10-19,71
ASG000165,EMP00013,PRJ0213,2025-11-10,2026-05-25,99
ASG000166,EMP00013,PRJ0200,2026-05-25,2026-06-18,84
ASG000167,EMP00014,PRJ0176,2020-11-10,2021-02-09,71
ASG000168,EMP00014,PRJ0119,2021-02-09,2021-07-13,83
ASG000169,EMP00014,PRJ0179,2021-08-07,2021-10-19,85
ASG000170,EMP00014,PRJ0123,2021-10-19,2022-06-10,100
ASG000171,EMP00014,PRJ0162,2022-06-10,2022-12-23,74
ASG000172,EMP00014,PRJ0047,2022-12-23,2023-05-23,89
ASG000173,EMP00014,PRJ0208,2023-05-23,2023-08-18,73
ASG000174,EMP00014,PRJ0035,2023-08-18,2023-11-03,94
ASG000175,EMP00014,PRJ0017,2023-11-03,2024-03-19,76
ASG000176,EMP00014,PRJ0184,2024-04-05,2024-06-10,95
ASG000177,EMP00014,PRJ0199,2024-06-10,2024-11-02,91
ASG000178,EMP00014,PRJ0242,2024-11-24,2025-02-03,87
ASG000179,EMP00014,PRJ0118,2025-02-03,2025-09-25,84
ASG000180,EMP00014,PRJ0010,2025-09-25,2026-06-08,71
ASG000181,EMP00014,PRJ0076,2026-06-08,2026-06-18,94
ASG000182,EMP00015,PRJ0052,2024-01-11,2024-06-23,91
ASG000183,EMP00015,PRJ0012,2024-06-23,2025-02-06,73
ASG000184,EMP00015,PRJ0203,2025-04-02,2025-12-17,94
ASG000185,EMP00015,PRJ0052,2025-12-17,2026-03-14,91
ASG000186,EMP00015,PRJ0227,2026-04-29,2026-06-18,81
ASG000187,EMP00016,PRJ0011,2020-05-07,2020-11-29,94
ASG000188,EMP00016,PRJ0081,2020-11-29,2021-04-06,96
ASG000189,EMP00016,PRJ0239,2021-04-06,2021-10-05,79
ASG000190,EMP00016,PRJ0080,2021-10-05,2021-12-10,97
ASG000191,EMP00016,PRJ0132,2021-12-10,2022-08-06,97
ASG000192,EMP00016,PRJ0102,2022-08-06,2022-10-28,95
ASG000193,EMP00016,PRJ0209,2022-10-28,2023-03-26,95
ASG000194,EMP00016,PRJ0140,2023-05-07,2024-01-26,96
ASG000195,EMP00016,PRJ0122,2024-03-22,2024-11-12,79
ASG000196,EMP00016,PRJ0065,2024-12-19,2025-04-30,96
ASG000197,EMP00016,PRJ0010,2025-04-30,2025-09-17,89
ASG000198,EMP00016,PRJ0193,2025-11-03,2026-01-08,97
ASG000199,EMP00016,PRJ0166,2026-01-08,2026-05-31,81
ASG000200,EMP00017,PRJ0049,2021-09-10,2022-01-06,82
ASG000201,EMP00017,PRJ0074,2022-01-06,2022-05-31,86
ASG000202,EMP00017,PRJ0092,2022-05-31,2022-10-23,71
ASG000203,EMP00017,PRJ0221,2022-10-23,2023-04-13,82
ASG000204,EMP00017,PRJ0200,2023-04-13,2023-08-10,91
ASG000205,EMP00017,PRJ0013,2023-08-14,2023-10-14,71
ASG000206,EMP00017,PRJ0222,2023-10-14,2024-01-29,76
ASG000207,EMP00017,PRJ0168,2024-01-29,2024-05-23,81
ASG000208,EMP00017,PRJ0085,2024-06-10,2024-08-12,95
ASG000209,EMP00017,PRJ0070,2024-09-10,2025-03-19,70
ASG000210,EMP00017,PRJ0032,2025-03-19,2025-07-18,85
ASG000211,EMP00017,PRJ0205,2025-07-18,2026-02-09,76
ASG000212,EMP00017,PRJ0095,2026-02-09,2026-06-18,85
ASG000213,EMP00018,PRJ0112,2022-01-06,2022-08-28,76
ASG000214,EMP00018,PRJ0228,2022-10-05,2023-06-28,87
ASG000215,EMP00018,PRJ0103,2023-06-28,2024-03-06,79
ASG000216,EMP00018,PRJ0191,2024-03-06,2024-07-17,79
ASG000217,EMP00018,PRJ0113,2024-07-17,2024-10-18,98
ASG000218,EMP00018,PRJ0230,2024-11-28,2025-03-07,70
ASG000219,EMP00018,PRJ0245,2025-04-08,2025-10-17,71
ASG000220,EMP00018,PRJ0099,2025-10-17,2026-01-27,87
ASG000221,EMP00018,PRJ0087,2026-04-02,2026-06-18,82
ASG000222,EMP00019,PRJ0250,2019-04-30,2019-11-03,93
ASG000223,EMP00019,PRJ0048,2019-11-03,2020-01-18,74
ASG000224,EMP00019,PRJ0128,2020-01-18,2020-06-09,70
ASG000225,EMP00019,PRJ0178,2020-06-09,2020-08-15,93
ASG000226,EMP00019,PRJ0128,2020-08-15,2021-01-04,75
ASG000227,EMP00019,PRJ0095,2021-01-04,2021-06-15,85
ASG000228,EMP00019,PRJ0237,2021-06-15,2021-09-24,79
ASG000229,EMP00019,PRJ0205,2021-09-24,2022-04-28,85
ASG000230,EMP00019,PRJ0133,2022-05-12,2022-07-29,90
ASG000231,EMP00019,PRJ0069,2022-08-31,2023-04-21,77
ASG000232,EMP00019,PRJ0206,2023-04-21,2023-10-02,77
ASG000233,EMP00019,PRJ0022,2023-10-02,2024-05-25,88
ASG000234,EMP00019,PRJ0187,2024-05-25,2024-10-12,70
ASG000235,EMP00019,PRJ0109,2024-11-08,2025-05-19,74
ASG000236,EMP00019,PRJ0021,2025-06-15,2025-11-20,99
ASG000237,EMP00019,PRJ0111,2025-11-20,2026-02-02,84
ASG000238,EMP00019,PRJ0155,2026-02-02,2026-04-22,82
ASG000239,EMP00019,PRJ0211,2026-04-22,2026-06-18,100
ASG000240,EMP00020,PRJ0047,2022-11-08,2023-06-17,98
ASG000241,EMP00020,PRJ0140,2023-06-17,2024-03-05,80
ASG000242,EMP00020,PRJ0076,2024-03-05,2024-06-14,95
ASG000243,EMP00020,PRJ0083,2024-06-14,2024-11-04,96
ASG000244,EMP00020,PRJ0027,2024-11-04,2025-06-01,98
ASG000245,EMP00020,PRJ0021,2025-06-01,2025-09-29,74
ASG000246,EMP00020,PRJ0084,2025-09-29,2026-04-05,90
ASG000247,EMP00020,PRJ0170,2026-04-05,2026-06-18,99
ASG000248,EMP00021,PRJ0076,2015-10-10,2016-06-07,76
ASG000249,EMP00021,PRJ0079,2016-07-14,2017-03-11,75
ASG000250,EMP00021,PRJ0115,2017-03-11,2017-05-20,79
ASG000251,EMP00021,PRJ0155,2017-05-20,2017-10-24,100
ASG000252,EMP00021,PRJ0184,2017-10-24,2018-04-09,85
ASG000253,EMP00021,PRJ0110,2018-04-09,2018-12-18,89
ASG000254,EMP00021,PRJ0043,2018-12-18,2019-03-12,72
ASG000255,EMP00021,PRJ0177,2019-03-12,2019-10-22,91
ASG000256,EMP00021,PRJ0114,2019-10-22,2020-03-25,72
ASG000257,EMP00021,PRJ0090,2020-05-06,2020-10-29,77
ASG000258,EMP00021,PRJ0115,2020-10-29,2021-04-12,71
ASG000259,EMP00021,PRJ0011,2021-04-27,2021-11-09,85
ASG000260,EMP00021,PRJ0187,2021-11-09,2022-02-01,73
ASG000261,EMP00021,PRJ0223,2022-02-01,2022-05-16,78
ASG000262,EMP00021,PRJ0234,2022-06-08,2022-08-25,83
ASG000263,EMP00021,PRJ0091,2022-10-06,2022-12-13,84
ASG000264,EMP00021,PRJ0158,2022-12-13,2023-06-24,90
ASG000265,EMP00021,PRJ0112,2023-06-24,2023-11-02,71
ASG000266,EMP00021,PRJ0071,2023-11-02,2024-04-05,95
ASG000267,EMP00021,PRJ0164,2024-04-05,2024-12-17,99
ASG000268,EMP00021,PRJ0203,2025-01-14,2025-06-02,76
ASG000269,EMP00021,PRJ0243,2025-06-02,2025-12-08,84
ASG000270,EMP00021,PRJ0015,2025-12-12,2026-06-18,80
ASG000271,EMP00022,PRJ0020,2017-02-17,2017-04-22,98
ASG000272,EMP00022,PRJ0172,2017-04-22,2017-10-11,91
ASG000273,EMP00022,PRJ0164,2017-11-17,2018-04-04,88
ASG000274,EMP00022,PRJ0104,2018-04-04,2018-11-11,93
ASG000275,EMP00022,PRJ0094,2018-11-11,2019-07-12,86
ASG000276,EMP00022,PRJ0132,2019-07-12,2020-04-06,88
ASG000277,EMP00022,PRJ0206,2020-05-25,2020-09-11,95
ASG000278,EMP00022,PRJ0192,2020-09-11,2021-06-06,76
ASG000279,EMP00022,PRJ0174,2021-07-18,2021-09-25,74
ASG000280,EMP00022,PRJ0041,2021-11-23,2022-08-07,83
ASG000281,EMP00022,PRJ0244,2022-08-07,2022-10-23,98
ASG000282,EMP00022,PRJ0008,2022-10-23,2023-01-28,85
ASG000283,EMP00022,PRJ0037,2023-02-08,2023-09-27,88
ASG000284,EMP00022,PRJ0218,2023-11-13,2024-07-19,95
ASG000285,EMP00022,PRJ0156,2024-07-19,2025-02-21,71
ASG000286,EMP00022,PRJ0174,2025-02-21,2025-07-18,85
ASG000287,EMP00022,PRJ0201,2025-07-18,2025-12-29,86
ASG000288,EMP00022,PRJ0113,2025-12-29,2026-05-19,88
ASG000289,EMP00022,PRJ0009,2026-05-19,2026-06-18,93
ASG000290,EMP00023,PRJ0033,2021-01-24,2021-06-11,78
ASG000291,EMP00023,PRJ0018,2021-06-11,2022-02-05,89
ASG000292,EMP00023,PRJ0061,2022-02-05,2022-04-09,74
ASG000293,EMP00023,PRJ0200,2022-05-19,2022-10-12,77
ASG000294,EMP00023,PRJ0166,2022-10-12,2023-06-17,80
ASG000295,EMP00023,PRJ0094,2023-08-19,2023-11-11,100
ASG000296,EMP00023,PRJ0093,2023-12-25,2024-06-16,81
ASG000297,EMP00023,PRJ0099,2024-06-16,2024-08-24,76
ASG000298,EMP00023,PRJ0244,2024-10-04,2024-12-04,99
ASG000299,EMP00023,PRJ0146,2024-12-04,2025-03-04,81
ASG000300,EMP00023,PRJ0009,2025-03-04,2025-09-27,86
ASG000301,EMP00023,PRJ0155,2025-12-09,2026-03-01,79
ASG000302,EMP00023,PRJ0040,2026-03-01,2026-06-18,73
ASG000303,EMP00024,PRJ0174,2023-01-20,2023-09-25,89
ASG000304,EMP00024,PRJ0116,2023-09-25,2023-12-01,77
ASG000305,EMP00024,PRJ0243,2023-12-01,2024-03-01,98
ASG000306,EMP00024,PRJ0095,2024-03-01,2024-07-23,75
ASG000307,EMP00024,PRJ0096,2024-07-23,2025-01-04,73
ASG000308,EMP00024,PRJ0114,2025-02-04,2025-10-24,92
ASG000309,EMP00024,PRJ0196,2025-10-24,2026-06-17,71
ASG000310,EMP00024,PRJ0020,2026-06-17,2026-06-18,96
ASG000311,EMP00025,PRJ0147,2020-08-20,2021-03-30,95
ASG000312,EMP00025,PRJ0036,2021-03-30,2021-08-11,100
ASG000313,EMP00025,PRJ0136,2021-08-11,2022-03-14,94
ASG000314,EMP00025,PRJ0094,2022-03-14,2022-10-12,80
ASG000315,EMP00025,PRJ0102,2022-10-12,2023-04-18,96
ASG000316,EMP00025,PRJ0081,2023-04-18,2023-07-28,83
ASG000317,EMP00025,PRJ0167,2023-07-28,2024-04-06,87
ASG000318,EMP00025,PRJ0072,2024-04-06,2024-10-15,89
ASG000319,EMP00025,PRJ0064,2024-10-15,2025-02-26,99
ASG000320,EMP00025,PRJ0246,2025-02-26,2025-05-28,95
ASG000321,EMP00025,PRJ0030,2025-05-28,2026-01-08,92
ASG000322,EMP00025,PRJ0007,2026-01-08,2026-05-28,91
ASG000323,EMP00025,PRJ0189,2026-05-28,2026-06-18,93
ASG000324,EMP00026,PRJ0048,2011-01-22,2011-09-02,95
ASG000325,EMP00026,PRJ0128,2011-09-02,2012-03-02,89
ASG000326,EMP00026,PRJ0133,2012-05-04,2012-09-18,95
ASG000327,EMP00026,PRJ0100,2012-11-10,2013-03-25,98
ASG000328,EMP00026,PRJ0234,2013-06-01,2013-11-02,77
ASG000329,EMP00026,PRJ0144,2013-11-02,2014-01-31,96
ASG000330,EMP00026,PRJ0031,2014-01-31,2014-08-31,74
ASG000331,EMP00026,PRJ0068,2014-08-31,2015-02-21,96
ASG000332,EMP00026,PRJ0199,2015-02-21,2015-05-06,73
ASG000333,EMP00026,PRJ0067,2015-05-06,2015-07-11,77
ASG000334,EMP00026,PRJ0181,2015-07-11,2015-09-23,74
ASG000335,EMP00026,PRJ0115,2015-11-26,2016-04-25,86
ASG000336,EMP00026,PRJ0055,2016-04-25,2016-10-28,100
ASG000337,EMP00026,PRJ0157,2017-01-15,2017-06-02,79
ASG000338,EMP00026,PRJ0074,2017-06-02,2017-10-06,99
ASG000339,EMP00026,PRJ0178,2017-10-06,2018-05-06,80
ASG000340,EMP00026,PRJ0235,2018-05-06,2018-10-05,91
ASG000341,EMP00026,PRJ0126,2018-10-05,2019-02-20,76
ASG000342,EMP00026,PRJ0052,2019-02-20,2019-05-19,79
ASG000343,EMP00026,PRJ0032,2019-07-01,2020-03-11,90
ASG000344,EMP00026,PRJ0035,2020-05-02,2020-09-06,70
ASG000345,EMP00026,PRJ0219,2020-09-06,2021-02-09,75
ASG000346,EMP00026,PRJ0019,2021-02-09,2021-09-28,100
ASG000347,EMP00026,PRJ0116,2021-11-16,2022-01-26,91
ASG000348,EMP00026,PRJ0045,2022-03-13,2022-09-30,91
ASG000349,EMP00026,PRJ0231,2022-09-30,2023-05-19,89
ASG000350,EMP00026,PRJ0183,2023-06-30,2023-12-11,71
ASG000351,EMP00026,PRJ0114,2023-12-11,2024-06-08,81
ASG000352,EMP00026,PRJ0023,2024-06-08,2024-12-02,84
ASG000353,EMP00026,PRJ0208,2025-01-16,2025-06-21,87
ASG000354,EMP00026,PRJ0175,2025-06-21,2025-11-23,70
ASG000355,EMP00026,PRJ0248,2025-11-23,2026-05-28,95
ASG000356,EMP00027,PRJ0217,2021-07-15,2021-09-17,71
ASG000357,EMP00027,PRJ0082,2021-09-17,2022-02-18,76
ASG000358,EMP00027,PRJ0171,2022-03-04,2022-09-04,91
ASG000359,EMP00027,PRJ0089,2022-09-08,2022-12-29,90
ASG000360,EMP00027,PRJ0182,2022-12-29,2023-09-08,96
ASG000361,EMP00027,PRJ0017,2023-09-08,2023-11-27,73
ASG000362,EMP00027,PRJ0141,2023-11-27,2024-08-06,95
ASG000363,EMP00027,PRJ0139,2024-08-06,2024-10-19,89
ASG000364,EMP00027,PRJ0075,2024-11-08,2025-03-30,78
ASG000365,EMP00027,PRJ0229,2025-03-30,2025-08-13,96
ASG000366,EMP00027,PRJ0077,2025-08-23,2026-04-23,78
ASG000367,EMP00027,PRJ0218,2026-04-23,2026-06-18,90
ASG000368,EMP00028,PRJ0041,2020-01-09,2020-03-11,71
ASG000369,EMP00028,PRJ0183,2020-04-17,2020-07-08,77
ASG000370,EMP00028,PRJ0182,2020-07-08,2021-01-18,78
ASG000371,EMP00028,PRJ0238,2021-01-18,2021-08-07,83
ASG000372,EMP00028,PRJ0180,2021-10-04,2022-03-22,77
ASG000373,EMP00028,PRJ0164,2022-05-12,2023-01-05,100
ASG000374,EMP00028,PRJ0045,2023-01-05,2023-07-27,89
ASG000375,EMP00028,PRJ0204,2023-09-19,2024-06-11,98
ASG000376,EMP00028,PRJ0093,2024-06-11,2024-12-18,97
ASG000377,EMP00028,PRJ0131,2025-02-06,2025-07-12,85
ASG000378,EMP00028,PRJ0058,2025-07-12,2026-01-25,70
ASG000379,EMP00028,PRJ0032,2026-04-08,2026-06-18,93
ASG000380,EMP00029,PRJ0052,2019-02-06,2019-09-25,94
ASG000381,EMP00029,PRJ0203,2019-09-25,2020-03-11,74
ASG000382,EMP00029,PRJ0036,2020-03-11,2020-10-05,84
ASG000383,EMP00029,PRJ0061,2020-10-05,2020-12-24,97
ASG000384,EMP00029,PRJ0203,2020-12-28,2021-06-12,99
ASG000385,EMP00029,PRJ0127,2021-06-12,2021-10-22,70
ASG000386,EMP00029,PRJ0007,2021-10-22,2022-03-08,75
ASG000387,EMP00029,PRJ0093,2022-03-08,2022-06-09,93
ASG000388,EMP00029,PRJ0142,2022-06-09,2023-01-24,99
ASG000389,EMP00029,PRJ0147,2023-01-24,2023-10-01,89
ASG000390,EMP00029,PRJ0095,2023-10-01,2024-02-27,93
ASG000391,EMP00029,PRJ0120,2024-02-27,2024-07-22,95
ASG000392,EMP00029,PRJ0206,2024-07-22,2025-01-10,99
ASG000393,EMP00029,PRJ0142,2025-01-10,2025-08-22,92
ASG000394,EMP00029,PRJ0034,2025-08-22,2025-11-23,78
ASG000395,EMP00029,PRJ0157,2025-11-23,2026-02-12,100
ASG000396,EMP00029,PRJ0227,2026-02-12,2026-06-18,85
ASG000397,EMP00030,PRJ0023,2017-11-03,2018-01-21,80
ASG000398,EMP00030,PRJ0017,2018-01-21,2018-07-13,88
