employee_id,skill_profile,recommended_skill_1,recommended_skill_1_name,recommended_skill_1_demand_score,recommended_skill_1_category,recommended_skill_2,recommended_skill_2_name,recommended_skill_2_demand_score,recommended_skill_2_category,recommended_skill_3,recommended_skill_3_name,recommended_skill_3_demand_score,recommended_skill_3_category
EMP00102,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00103,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00104,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00105,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00106,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00107,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00108,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00109,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00110,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00111,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00112,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00113,legacy,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00114,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00115,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00116,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00117,modern,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00118,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00119,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00120,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00121,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00122,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00123,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00124,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00125,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00126,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00127,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00128,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00129,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00130,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00131,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00132,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00133,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00134,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00135,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00136,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00137,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00138,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00139,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00140,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00141,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00142,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00143,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00144,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00145,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00146,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00147,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00148,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00149,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00150,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00151,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00152,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00153,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00154,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00155,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00156,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00157,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00158,balanced,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00159,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00160,legacy,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00161,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00162,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00163,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00164,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00165,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00166,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00167,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00168,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00169,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00170,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00171,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00172,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00173,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00174,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00175,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00176,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00177,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00178,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00179,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00180,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00181,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
